timestamp,direction,src_ip,src_port,dst_ip,dst_port,protocol,length,tcp_flags,dns_query,http_host,alert_type
2026-02-20 14:04:49,INBOUND,44.214.160.33,443,192.168.0.113,64608,TCP,66,A,-,-,NORMAL
2026-02-20 14:04:49,INBOUND,44.214.160.33,443,192.168.0.113,64608,TCP,66,A,-,-,NORMAL
2026-02-20 14:04:49,INBOUND,44.214.160.33,443,192.168.0.113,64608,TCP,1494,A,-,-,NORMAL
2026-02-20 14:04:49,INBOUND,44.214.160.33,443,192.168.0.113,64608,TCP,1494,A,-,-,NORMAL
2026-02-20 14:04:49,INBOUND,44.214.160.33,443,192.168.0.113,64608,TCP,1494,A,-,-,NORMAL
2026-02-20 14:04:49,INBOUND,44.214.160.33,443,192.168.0.113,64608,TCP,161,PA,-,-,NORMAL
2026-02-20 14:04:49,OUTBOUND,192.168.0.113,64608,44.214.160.33,443,TCP,66,A,-,-,NORMAL
2026-02-20 14:04:49,OUTBOUND,192.168.0.113,64608,44.214.160.33,443,TCP,66,A,-,-,NORMAL
2026-02-20 14:04:49,OUTBOUND,192.168.0.113,64608,44.214.160.33,443,TCP,130,PA,-,-,NORMAL
2026-02-20 14:04:49,OUTBOUND,192.168.0.113,64608,44.214.160.33,443,TCP,158,PA,-,-,NORMAL
2026-02-20 14:04:49,OUTBOUND,192.168.0.113,64608,44.214.160.33,443,TCP,444,PA,-,-,NORMAL
2026-02-20 14:04:49,OUTBOUND,192.168.0.113,64608,44.214.160.33,443,TCP,994,PA,-,-,NORMAL
2026-02-20 14:04:50,INBOUND,44.214.160.33,443,192.168.0.113,64608,TCP,66,A,-,-,NORMAL
2026-02-20 14:04:50,INBOUND,44.214.160.33,443,192.168.0.113,64608,TCP,245,PA,-,-,NORMAL
2026-02-20 14:04:50,INBOUND,44.214.160.33,443,192.168.0.113,64608,TCP,128,PA,-,-,NORMAL
2026-02-20 14:04:50,INBOUND,44.214.160.33,443,192.168.0.113,64608,TCP,97,PA,-,-,NORMAL
2026-02-20 14:04:50,INBOUND,44.214.160.33,443,192.168.0.113,64608,TCP,66,A,-,-,NORMAL
2026-02-20 14:04:50,OUTBOUND,192.168.0.113,64608,44.214.160.33,443,TCP,66,A,-,-,NORMAL
2026-02-20 14:04:50,OUTBOUND,192.168.0.113,64608,44.214.160.33,443,TCP,66,A,-,-,NORMAL
2026-02-20 14:04:50,OUTBOUND,192.168.0.113,64608,44.214.160.33,443,TCP,97,PA,-,-,NORMAL
2026-02-20 14:04:50,INBOUND,44.214.160.33,443,192.168.0.113,64608,TCP,431,PA,-,-,NORMAL
2026-02-20 14:04:50,OUTBOUND,192.168.0.113,64608,44.214.160.33,443,TCP,66,A,-,-,NORMAL
2026-02-20 14:04:50,INBOUND,44.214.160.33,443,192.168.0.113,64608,TCP,66,A,-,-,NORMAL
2026-02-20 14:04:55,OUTBOUND,192.168.0.113,64444,52.5.92.42,443,TCP,54,A,-,-,NORMAL
2026-02-20 14:04:55,INBOUND,52.5.92.42,443,192.168.0.113,64444,TCP,66,A,-,-,NORMAL
2026-02-20 14:04:59,OUTBOUND,192.168.0.113,64589,13.67.9.5,443,TCP,54,A,-,-,NORMAL
2026-02-20 14:04:59,INBOUND,13.67.9.5,443,192.168.0.113,64589,TCP,66,A,-,-,NORMAL
2026-02-20 14:05:04,OUTBOUND,192.168.0.113,64595,18.161.246.80,443,TCP,54,A,-,-,NORMAL
2026-02-20 14:05:04,INBOUND,18.161.246.80,443,192.168.0.113,64595,TCP,66,A,-,-,NORMAL
2026-02-20 14:05:07,OUTBOUND,192.168.0.113,64563,51.104.15.253,443,TCP,54,A,-,-,NORMAL
2026-02-20 14:05:08,INBOUND,51.104.15.253,443,192.168.0.113,64563,TCP,66,A,-,-,NORMAL
2026-02-20 14:05:09,OUTBOUND,192.168.0.113,64584,44.218.222.188,443,TCP,54,A,-,-,NORMAL
2026-02-20 14:05:09,INBOUND,44.218.222.188,443,192.168.0.113,64584,TCP,66,A,-,-,NORMAL
2026-02-20 14:05:17,OUTBOUND,192.168.0.113,64583,140.82.114.26,443,TCP,54,A,-,-,NORMAL
2026-02-20 14:05:17,INBOUND,140.82.114.26,443,192.168.0.113,64583,TCP,66,A,-,-,NORMAL
2026-02-20 14:05:30,OUTBOUND,192.168.0.113,64607,3.224.103.9,443,TCP,54,A,-,-,NORMAL
2026-02-20 14:05:30,INBOUND,3.224.103.9,443,192.168.0.113,64607,TCP,66,A,-,-,NORMAL
2026-02-20 14:05:32,INBOUND,140.82.114.26,443,192.168.0.113,64583,TCP,91,PA,-,-,NORMAL
2026-02-20 14:05:32,OUTBOUND,192.168.0.113,64583,140.82.114.26,443,TCP,66,A,-,-,NORMAL
